collection,title,attachment_title,date,creators,attachment_item_id,attachment_item_key,attachment_content_type,storage_folder,file_name,extension,file_path,file_size_bytes,file_modified,is_primary_attachment
Hyperspectral Paper,Soil conditions modify species diversity effects on tree functional trait expression,Full Text PDF,2024-07-24 2024-07-24,"Davrinche, Andréa; Haider, Sylvia",25,4MK8PYJ4,application/pdf,C:\Users\PaintRock\Zotero\storage\4MK8PYJ4,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\4MK8PYJ4\.zotero-ft-cache,68591,2025-11-06T12:47:18,False
Hyperspectral Paper,Soil conditions modify species diversity effects on tree functional trait expression,Full Text PDF,2024-07-24 2024-07-24,"Davrinche, Andréa; Haider, Sylvia",25,4MK8PYJ4,application/pdf,C:\Users\PaintRock\Zotero\storage\4MK8PYJ4,Davrinche and Haider - 2024 - Soil conditions modify species diversity effects on tree functional trait expression.pdf,.pdf,C:\Users\PaintRock\Zotero\storage\4MK8PYJ4\Davrinche and Haider - 2024 - Soil conditions modify species diversity effects on tree functional trait expression.pdf,2030378,2025-11-06T12:47:11,True
Hyperspectral Paper,Intra-annual taxonomic and phenological drivers of spectral variance in grasslands,ScienceDirect Snapshot,2022-03-15 2022-03-15,"Thornley, Rachael; Gerard, France F.; White, Kevin; Verhoef, Anne",27,AX33PL8D,text/html,C:\Users\PaintRock\Zotero\storage\AX33PL8D,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\AX33PL8D\.zotero-ft-cache,90122,2025-12-18T10:23:20,False
Hyperspectral Paper,Intra-annual taxonomic and phenological drivers of spectral variance in grasslands,ScienceDirect Snapshot,2022-03-15 2022-03-15,"Thornley, Rachael; Gerard, France F.; White, Kevin; Verhoef, Anne",27,AX33PL8D,text/html,C:\Users\PaintRock\Zotero\storage\AX33PL8D,S0034425722000220.html,.html,C:\Users\PaintRock\Zotero\storage\AX33PL8D\S0034425722000220.html,4063293,2025-12-18T10:23:13,True
Hyperspectral Paper,Intra-annual taxonomic and phenological drivers of spectral variance in grasslands,ScienceDirect Full Text PDF,2022-03-15 2022-03-15,"Thornley, Rachael; Gerard, France F.; White, Kevin; Verhoef, Anne",28,FJAFIURN,application/pdf,C:\Users\PaintRock\Zotero\storage\FJAFIURN,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\FJAFIURN\.zotero-ft-cache,89710,2025-12-18T10:23:21,False
Hyperspectral Paper,Intra-annual taxonomic and phenological drivers of spectral variance in grasslands,ScienceDirect Full Text PDF,2022-03-15 2022-03-15,"Thornley, Rachael; Gerard, France F.; White, Kevin; Verhoef, Anne",28,FJAFIURN,application/pdf,C:\Users\PaintRock\Zotero\storage\FJAFIURN,.zotero-reader-state,,C:\Users\PaintRock\Zotero\storage\FJAFIURN\.zotero-reader-state,78,2026-01-05T14:58:19,False
Hyperspectral Paper,Intra-annual taxonomic and phenological drivers of spectral variance in grasslands,ScienceDirect Full Text PDF,2022-03-15 2022-03-15,"Thornley, Rachael; Gerard, France F.; White, Kevin; Verhoef, Anne",28,FJAFIURN,application/pdf,C:\Users\PaintRock\Zotero\storage\FJAFIURN,Thornley et al. - 2022 - Intra-annual taxonomic and phenological drivers of spectral variance in grasslands.pdf,.pdf,C:\Users\PaintRock\Zotero\storage\FJAFIURN\Thornley et al. - 2022 - Intra-annual taxonomic and phenological drivers of spectral variance in grasslands.pdf,4822544,2025-12-18T10:23:14,True
Hyperspectral Paper,Species-Level Differences in Hyperspectral Metrics among Tropical Rainforest Trees as Determined by a Tree-Based Classifier,Full Text PDF,2012-06-17 2012-06-17,"Clark, Matthew L.; Roberts, Dar A.; Clark, Matthew L.; Roberts, Dar A.",30,R84AWY83,application/pdf,C:\Users\PaintRock\Zotero\storage\R84AWY83,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\R84AWY83\.zotero-ft-cache,99740,2025-12-18T10:25:53,False
Hyperspectral Paper,Species-Level Differences in Hyperspectral Metrics among Tropical Rainforest Trees as Determined by a Tree-Based Classifier,Full Text PDF,2012-06-17 2012-06-17,"Clark, Matthew L.; Roberts, Dar A.; Clark, Matthew L.; Roberts, Dar A.",30,R84AWY83,application/pdf,C:\Users\PaintRock\Zotero\storage\R84AWY83,.zotero-reader-state,,C:\Users\PaintRock\Zotero\storage\R84AWY83\.zotero-reader-state,78,2026-01-13T08:30:08,False
Hyperspectral Paper,Species-Level Differences in Hyperspectral Metrics among Tropical Rainforest Trees as Determined by a Tree-Based Classifier,Full Text PDF,2012-06-17 2012-06-17,"Clark, Matthew L.; Roberts, Dar A.; Clark, Matthew L.; Roberts, Dar A.",30,R84AWY83,application/pdf,C:\Users\PaintRock\Zotero\storage\R84AWY83,Clark et al. - 2012 - Species-Level Differences in Hyperspectral Metrics among Tropical Rainforest Trees as Determined by.pdf,.pdf,C:\Users\PaintRock\Zotero\storage\R84AWY83\Clark et al. - 2012 - Species-Level Differences in Hyperspectral Metrics among Tropical Rainforest Trees as Determined by.pdf,1427350,2025-12-18T10:25:47,True
